time,node_id,old_role,new_role
381.01518914643174,95,UNREGISTERED,REGISTERED
401.01318237125724,51,UNREGISTERED,REGISTERED
401.01326578571724,40,UNREGISTERED,REGISTERED
401.0133278093009,30,UNDISCOVERED,UNREGISTERED
401.0133391699205,51,REGISTERED,CLUSTER_HEAD
401.01341756925217,52,CLUSTER_HEAD,ROUTER
401.01395329226983,32,REGISTERED,CLUSTER_HEAD
401.0139869013228,31,UNREGISTERED,REGISTERED
401.0140014694965,41,UNREGISTERED,REGISTERED
401.0140978239499,41,REGISTERED,CLUSTER_HEAD
401.0141460011766,32,CLUSTER_HEAD,ROUTER
401.0143894559318,60,REGISTERED,CLUSTER_HEAD
401.01445079476963,70,UNREGISTERED,REGISTERED
401.0144872499967,80,UNREGISTERED,REGISTERED
401.01468283812653,80,REGISTERED,CLUSTER_HEAD
401.01478063219145,60,CLUSTER_HEAD,ROUTER
407.00262168948075,12,REGISTERED,UNREGISTERED
421.0116049833825,33,UNREGISTERED,REGISTERED
421.0128470261692,98,UNREGISTERED,REGISTERED
421.0150003161926,90,UNREGISTERED,REGISTERED
421.0162411228015,84,REGISTERED,CLUSTER_HEAD
421.0162960244344,94,UNREGISTERED,REGISTERED
421.01640582770017,94,REGISTERED,CLUSTER_HEAD
421.01646072933306,84,CLUSTER_HEAD,ROUTER
441.0117439230609,31,REGISTERED,UNREGISTERED
461.01247345524007,33,REGISTERED,CLUSTER_HEAD
461.0125697054222,31,UNREGISTERED,REGISTERED
461.0127622057865,31,REGISTERED,CLUSTER_HEAD
461.0128584559686,33,CLUSTER_HEAD,ROUTER
461.0134860961281,30,UNREGISTERED,REGISTERED
461.01355136002474,20,UNDISCOVERED,UNREGISTERED
461.01364438295525,30,REGISTERED,CLUSTER_HEAD
461.01372352636884,31,CLUSTER_HEAD,ROUTER
461.01388557890937,89,REGISTERED,CLUSTER_HEAD
461.01394026504204,99,UNREGISTERED,REGISTERED
461.0140496373074,99,REGISTERED,CLUSTER_HEAD
461.01410432344005,89,CLUSTER_HEAD,ROUTER
462.351920178029,21,UNREGISTERED,REGISTERED
462.35198729830256,10,UNDISCOVERED,UNREGISTERED
462.3520522626486,0,UNDISCOVERED,UNREGISTERED
481.0143068052484,70,REGISTERED,UNREGISTERED
501.01368863091096,76,REGISTERED,CLUSTER_HEAD
501.0137686246796,85,UNREGISTERED,REGISTERED
501.01392861221683,85,REGISTERED,CLUSTER_HEAD
501.01400860598545,76,CLUSTER_HEAD,ROUTER
521.0116395741087,22,UNREGISTERED,REGISTERED
521.0117012335646,31,ROUTER,UNREGISTERED
527.0027828139553,12,UNREGISTERED,REGISTERED
541.0125043156235,22,REGISTERED,CLUSTER_HEAD
541.0139128803136,77,REGISTERED,CLUSTER_HEAD
541.0139912694835,87,UNREGISTERED,REGISTERED
541.0141480478235,87,REGISTERED,CLUSTER_HEAD
541.0142264369935,77,CLUSTER_HEAD,ROUTER
541.0154505369146,71,REGISTERED,CLUSTER_HEAD
541.0155006744916,70,UNREGISTERED,REGISTERED
542.3518578880224,11,UNREGISTERED,REGISTERED
550,89,ROUTER,UNREGISTERED
550,64,ROUTER,UNREGISTERED
550,37,CLUSTER_HEAD,UNREGISTERED
557.1076837442665,11,REGISTERED,CLUSTER_HEAD
557.10775775536,2,UNREGISTERED,REGISTERED
557.107905777547,2,REGISTERED,CLUSTER_HEAD
557.1079797886405,11,CLUSTER_HEAD,ROUTER
561.0118425878333,31,UNREGISTERED,REGISTERED
561.0119839421019,31,REGISTERED,CLUSTER_HEAD
561.0120546192362,22,CLUSTER_HEAD,ROUTER
562.3518013561319,1,UNREGISTERED,REGISTERED
570.0009749793506,79,REGISTERED,CLUSTER_HEAD
570.0010524907576,89,UNREGISTERED,REGISTERED
570.0012075135716,89,REGISTERED,CLUSTER_HEAD
570.0012850249785,79,CLUSTER_HEAD,ROUTER
590.0000498529093,64,UNREGISTERED,REGISTERED
590.0002096476278,28,REGISTERED,CLUSTER_HEAD
590.0002961315809,37,UNREGISTERED,REGISTERED
590.000469099487,37,REGISTERED,CLUSTER_HEAD
590.00055558344,28,CLUSTER_HEAD,ROUTER
621.0117055104608,11,ROUTER,UNREGISTERED
681.013681887818,20,UNREGISTERED,REGISTERED
701.0119289353845,11,UNREGISTERED,REGISTERED
742.3521730065185,10,UNREGISTERED,REGISTERED
762.3531478222193,1,REGISTERED,CLUSTER_HEAD
802.3532620592431,10,REGISTERED,CLUSTER_HEAD
802.3533290767551,0,UNREGISTERED,REGISTERED
802.3534631117792,0,REGISTERED,CLUSTER_HEAD
802.3535301292912,10,CLUSTER_HEAD,ROUTER
819.6282932561447,74,CLUSTER_HEAD,UNREGISTERED
819.6283072713828,53,CLUSTER_HEAD,UNREGISTERED
819.6283072713828,63,ROUTER,UNREGISTERED
839.6284228420501,74,UNREGISTERED,REGISTERED
839.6285053076803,63,UNREGISTERED,REGISTERED
839.6289857377228,43,REGISTERED,CLUSTER_HEAD
839.6290713285316,53,UNREGISTERED,REGISTERED
839.6292425101492,53,REGISTERED,CLUSTER_HEAD
839.629328100958,43,CLUSTER_HEAD,ROUTER
1431.014566547535,42,REGISTERED,UNREGISTERED
1431.014566547535,52,ROUTER,UNREGISTERED
1431.014566547535,61,CLUSTER_HEAD,UNREGISTERED
1431.014566547535,62,REGISTERED,UNREGISTERED
1451.0147048680371,42,UNREGISTERED,REGISTERED
1451.0147233461983,52,UNREGISTERED,REGISTERED
1451.0147381472232,62,UNREGISTERED,REGISTERED
1451.0147407565735,61,UNREGISTERED,REGISTERED
2701.013986901323,11,REGISTERED,UNREGISTERED
2701.013986901323,21,REGISTERED,UNREGISTERED
2701.013986901323,30,CLUSTER_HEAD,UNREGISTERED
2701.013986901323,42,REGISTERED,UNREGISTERED
2721.012618650205,24,REGISTERED,UNREGISTERED
2721.012618650205,34,CLUSTER_HEAD,UNREGISTERED
2721.012618650205,44,ROUTER,UNREGISTERED
2721.012618650205,45,ROUTER,UNREGISTERED
2721.01413492351,11,UNREGISTERED,REGISTERED
2741.0127961554635,44,UNREGISTERED,REGISTERED
2741.0128128362876,45,UNREGISTERED,REGISTERED
2781.0127634680375,24,UNREGISTERED,REGISTERED
2781.0128093583307,34,UNREGISTERED,REGISTERED
3081.0143531771246,50,CLUSTER_HEAD,UNREGISTERED
3081.0143531771246,60,ROUTER,UNREGISTERED
3081.0143531771246,63,REGISTERED,UNREGISTERED
3081.0143531771246,71,CLUSTER_HEAD,UNREGISTERED
3081.0143531771246,72,REGISTERED,UNREGISTERED
3101.0145017618443,72,UNREGISTERED,REGISTERED
3201.0145487652553,60,UNREGISTERED,REGISTERED
3301.0144888276027,71,UNREGISTERED,REGISTERED
3823.312911566525,68,CLUSTER_HEAD,UNREGISTERED
3843.313091162756,68,UNREGISTERED,REGISTERED
3943.313626675463,58,REGISTERED,CLUSTER_HEAD
4290.00029613158,46,ROUTER,UNREGISTERED
4290.00029613158,47,ROUTER,UNREGISTERED
4301.01247454146,65,CLUSTER_HEAD,UNREGISTERED
4301.012629812277,56,CLUSTER_HEAD,UNREGISTERED
4310.0004172832,46,UNREGISTERED,REGISTERED
4341.0127595739805,56,UNREGISTERED,REGISTERED
4401.012584671578,65,UNREGISTERED,REGISTERED
4421.012134601765,12,REGISTERED,UNREGISTERED
4421.012134601765,22,ROUTER,UNREGISTERED
4421.012134601765,32,ROUTER,UNREGISTERED
4421.012134601765,34,REGISTERED,UNREGISTERED
4481.0122269095,12,UNREGISTERED,REGISTERED
4481.012230956218,32,UNREGISTERED,REGISTERED
4481.014798731248,41,CLUSTER_HEAD,UNREGISTERED
4741.014626208708,55,CLUSTER_HEAD,UNREGISTERED
4839.626957432692,57,CLUSTER_HEAD,UNREGISTERED
4899.627087411797,57,UNREGISTERED,REGISTERED
4932.040895678074,5,ROUTER,UNREGISTERED
4932.040895678074,6,REGISTERED,UNREGISTERED
4932.040895678074,15,REGISTERED,UNREGISTERED
4932.040895678074,25,ROUTER,UNREGISTERED
4937.18481487595,29,REGISTERED,UNREGISTERED
4937.18481487595,39,ROUTER,UNREGISTERED
4952.041117187195,7,REGISTERED,CLUSTER_HEAD
4952.041181560222,6,UNREGISTERED,REGISTERED
4972.041134972145,5,UNREGISTERED,REGISTERED
4972.041135684911,15,UNREGISTERED,REGISTERED
4972.041375691748,15,REGISTERED,CLUSTER_HEAD
4972.041495695166,7,CLUSTER_HEAD,ROUTER
4997.184947732922,39,UNREGISTERED,REGISTERED
