time,packet_type,source,current_node,next_hop,dest,hop_count,routing_direction
724.9135730789505,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9136487118475,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
724.9137243447444,SENSOR_DATA,"[6,2]",56,"[6,254]","[16,3]",,TREE
724.9137999776414,SENSOR_DATA,"[6,2]",46,"[6,5]","[16,3]",,MESH
725.9529424399128,SENSOR_DATA,"[3,5]",15,"[3,3]","[3,3]",,DIRECT
727.5221619484372,SENSOR_DATA,"[6,5]",56,"[13,4]","[31,5]",,MESH
727.5222957041274,SENSOR_DATA,"[6,5]",64,"[33,4]","[31,5]",,MESH
727.5224276655053,SENSOR_DATA,"[6,5]",72,"[31,5]","[31,5]",,DIRECT
727.9174936160481,SENSOR_DATA,"[43,1]",61,"[24,5]","[24,5]",,DIRECT
727.9188151984757,SENSOR_DATA,"[33,1]",52,"[11,3]","[11,3]",,DIRECT
727.9192007788421,SENSOR_DATA,"[43,1]",61,"[38,1]","[38,1]",,DIRECT
728.3033445227147,SENSOR_DATA,"[0,4]",38,"[6,3]","[23,2]",,MESH
728.3034537681,SENSOR_DATA,"[0,4]",57,"[10,1]","[23,2]",,MESH
728.3035394390356,SENSOR_DATA,"[0,4]",68,"[23,2]","[23,2]",,DIRECT
728.6707004103428,SENSOR_DATA,"[13,3]",75,"[13,254]","[11,5]",,TREE
728.670800081787,SENSOR_DATA,"[13,3]",55,"[6,4]","[11,5]",,MESH
728.6708715139647,SENSOR_DATA,"[13,3]",45,"[6,254]","[11,5]",,TREE
728.6709509173538,SENSOR_DATA,"[13,3]",46,"[6,2]","[11,5]",,MESH
728.6710221936602,SENSOR_DATA,"[13,3]",35,"[11,1]","[11,5]",,TREE
728.6711105040473,SENSOR_DATA,"[13,3]",44,"[11,5]","[11,5]",,DIRECT
728.6733521774775,SENSOR_DATA,"[27,1]",96,"[16,3]","[6,5]",,MESH
728.6734257924948,SENSOR_DATA,"[27,1]",95,"[16,254]","[6,5]",,TREE
728.6735068937817,SENSOR_DATA,"[27,1]",85,"[13,2]","[6,5]",,MESH
730.4309582966032,SENSOR_DATA,"[18,2]",76,"[18,254]","[6,2]",,TREE
730.4310441975595,SENSOR_DATA,"[18,2]",65,"[6,3]","[6,2]",,MESH
730.4312456830463,SENSOR_DATA,"[27,2]",98,"[29,1]","[29,1]",,DIRECT
730.6274822690334,SENSOR_DATA,"[0,3]",27,"[0,254]","[3,5]",,TREE
730.627562751449,SENSOR_DATA,"[0,3]",28,"[0,254]","[3,5]",,UNKNOWN
730.8827012014333,SENSOR_DATA,"[24,4]",41,"[34,3]","[34,3]",,DIRECT
730.8827912516658,SENSOR_DATA,"[33,4]",72,"[39,2]","[39,2]",,DIRECT
730.8854342683971,SENSOR_DATA,"[34,3]",32,"[11,2]","[0,8]",,MESH
730.8854496598801,SENSOR_DATA,"[34,1]",22,"[21,5]","[24,5]",,MESH
730.8854535472972,SENSOR_DATA,"[34,2]",21,"[34,254]","[11,3]",,TREE
730.8854641037419,SENSOR_DATA,"[34,4]",30,"[34,254]","[11,5]",,TREE
730.8854792864155,SENSOR_DATA,"[34,5]",20,"[35,1]","[35,5]",,TREE
730.8855172016063,SENSOR_DATA,"[34,1]",31,"[24,5]","[24,5]",,DIRECT
730.8855249764403,SENSOR_DATA,"[34,2]",31,"[11,3]","[11,3]",,DIRECT
730.8855283025716,SENSOR_DATA,"[34,3]",43,"[6,2]","[0,8]",,MESH
730.8855460893298,SENSOR_DATA,"[34,4]",31,"[34,3]","[11,5]",,MESH
730.8855709504255,SENSOR_DATA,"[34,5]",11,"[35,5]","[35,5]",,DIRECT
730.8855982395728,SENSOR_DATA,"[34,4]",32,"[34,254]","[11,5]",,TREE
730.8856503898159,SENSOR_DATA,"[34,4]",31,"[34,3]","[11,5]",,MESH
730.8856537634966,NETWORK_REQUEST,"[39,3]",70,"[39,254]","[0,254]",,TREE
730.885655284317,SENSOR_DATA,"[34,3]",35,"[6,254]","[0,8]",,TREE
730.8857025400589,SENSOR_DATA,"[34,4]",32,"[34,254]","[11,5]",,TREE
730.8857085153093,NETWORK_REQUEST,"[39,3]",71,"[43,254]","[0,254]",,TREE
730.8857265606233,SENSOR_DATA,"[34,3]",46,"[0,8]","[0,8]",,DIRECT
730.885754690302,SENSOR_DATA,"[34,4]",31,"[34,3]","[11,5]",,MESH
730.8857693465229,NETWORK_REQUEST,"[39,3]",61,"[24,5]","[0,254]",,TREE
730.885806840545,SENSOR_DATA,"[34,4]",32,"[34,254]","[11,5]",,TREE
730.8858279441239,NETWORK_REQUEST,"[39,3]",51,"[24,254]","[0,254]",,TREE
730.885858990788,SENSOR_DATA,"[34,4]",31,"[34,3]","[11,5]",,MESH
730.8858860003476,NETWORK_REQUEST,"[39,3]",52,"[33,254]","[0,254]",,TREE
730.8859111410311,SENSOR_DATA,"[34,4]",32,"[34,254]","[11,5]",,TREE
730.8859632912742,SENSOR_DATA,"[34,4]",31,"[34,3]","[11,5]",,MESH
